uid_1,uid_2,name1,name2,sound_dist,name_dist,is_psfix,cat,res,to_keep
8e41d2c6-0958-5e4f-9da3-782c755eeef4,6b13d7a0-5685-5977-8beb-daea72e45ac3,Simba Wanyika in Europe_Simba Wanyika_Side B,2. Nakupenda Cherie_Simba Wanyika in Europe_Simba Wanyika_Side B,2.6457245972209207,0.2670454545454546,1,above_st--below_nt--psfix,0,-1
31a542b7-8218-56b7-b0d7-d502cc227793,79e0cf2c-4b95-5312-8233-a714b6902b37,2. Track 2_Zein Vol. No. 13_Zein Musical Party_Side A,2. Track 2_Zein Vol. No. 13_Zein Musical Party_Side A___Corrected,0.995850373706737,0.03692307692307695,1,above_st--below_nt--psfix,0,-1
31a542b7-8218-56b7-b0d7-d502cc227793,61bb0efa-970d-5b62-8c7f-24dcf150bcb8,2. Track 2_Zein Vol. No. 13_Zein Musical Party_Side A,Zein Vol. No. 13_Zein Musical Party_Side A,1.2460363822217828,0.22394429469901167,1,above_st--below_nt--psfix,0,-1
3eb920eb-4298-50d9-9136-f0171416481e,c4f60fe0-ffe8-5cec-9034-66c7124cf405,1. Track 1_Cassette 59_Side A,1. Track 1_Cassette 59_Side B_Corrected,0.02333391511013034,0.06330680813439428,0,below_st--below_nt--not_psfix,0,-1
eb33d77a-162a-5c77-9f1b-974bdcd28605,ac82bdfc-34bb-5e95-bc3e-38d8164a3e3d,4 Audio Track,04 Track 04,0.0009149410436784108,0.34411421911421913,0,below_st--below_nt--not_psfix,0,-1
18a73639-cb49-55f2-9aa3-6396f7d1fb90,6f6117a9-2a56-5cc8-bc89-5a77e389f85b,2. Track 2_New-Star 8_Side B,New-Star 8_Side B,3.487038750331826,0.2878151260504201,1,above_st--below_nt--psfix,0,-1
3af5840f-998a-5cac-8c70-99270ac17b4b,99b622e9-9203-5e1d-8b55-169dad36b923,19 لبى عيونك,19 Audio Track,0.0018871776204081347,0.4603174603174604,0,below_st--below_nt--not_psfix,0,-1
67d3fc96-f74d-5ad9-ad57-90b956da8ee3,92382d53-9c61-55eb-b0ed-03b27d52718d,2. Track 2_Cassette 53_Side A_Corrected,Cassette 53_Side A_Corrected,2.925863321680013,0.2428266178266177,1,above_st--below_nt--psfix,0,-1
b00bbd27-d648-54a9-b3fd-74a43d8dc5fe,b622bf71-9365-5494-8d2f-a643533400f5,4. Track 4_Zein Vol. No. 13_Zein Musical Party_Side A,4. Track 4_Zein Vol. No. 13_Zein Musical Party_Side A___Corrected,0.7052035444830368,0.03692307692307695,1,above_st--below_nt--psfix,0,-1
b00bbd27-d648-54a9-b3fd-74a43d8dc5fe,61bb0efa-970d-5b62-8c7f-24dcf150bcb8,4. Track 4_Zein Vol. No. 13_Zein Musical Party_Side A,Zein Vol. No. 13_Zein Musical Party_Side A,2.497036273578118,0.22394429469901167,1,above_st--below_nt--psfix,0,-1
